model,best_val_nll,rmse,mae,ic,rank_ic_by_day,directional_accuracy,nll,topk_overlap,topk_hit_rate,pred_topk_mean_return,pred_bottomk_mean_return,top_bottom_return_spread,oracle_topk_mean_return,topk_return_capture,top_k,rebalance_every,hold_k,min_score,total_net_return,annualized_sharpe,max_drawdown,mean_daily_net_return,average_turnover,total_trading_cost,positive_day_ratio,forecast_rank_score
stock_mamba_hybrid,-2.7767698764801025,0.022294782102108,0.015134695917367935,0.12133219093084335,0.05481646273637375,0.5162622332572937,-2.4942312240600586,0.2257142857142857,0.7357142857142858,0.003845339944434402,-0.0006730355538406587,0.004518375498275061,0.028223881923310858,0.1362441904654665,5,1,0,,0.5637840397480136,1.665192155339687,-0.1951087833134385,0.0017356970988904193,1.4064286285213061,0.5907000239789486,0.5428571428571428,2.5337484514070168
transformer,-2.775893449783325,0.0226428285241127,0.015194684267044067,-0.0232076495885849,0.05444621007468615,0.5070986151695251,-2.4653520584106445,0.16285714285714287,0.6035714285714285,0.001986793884758039,0.0005377356757427216,0.0014490582090153177,0.028223881923310858,0.07039406875909203,5,1,0,,0.040232851762632915,0.2677190901975138,-0.2729452302836629,0.0002735796647545483,1.1421429050820215,0.47970002013444907,0.525,2.5043185416877924
lstm,-2.698974370956421,0.023305479437112808,0.015974320471286774,0.046774622052907944,0.018267916732877795,0.5086473822593689,-2.3903300762176514,0.2714285714285714,0.7642857142857142,0.003590343504038174,0.00014223542840617094,0.003448108075632003,0.028223881923310858,0.1272094148421452,5,1,0,,0.9452680336380477,1.956108618672286,-0.19627462307196153,0.002603557871298731,0.6578571593122823,0.2763000069111586,0.5892857142857143,2.4203294245138394
original_mamba_bgnn_full,-2.688751220703125,0.022970350459218025,0.01579023338854313,0.0017263006884604692,0.0008120133481646299,0.49277234077453613,-2.141392707824707,0.20500000000000002,0.675,0.0009418093527658909,0.0005587258481422656,0.0003830835046236253,0.028223881923310858,0.033369235150747474,5,1,0,,-0.1156310143635364,-0.2410956591137453,-0.27828126348616256,-0.0002742620011450658,0.8107143114720072,0.34050001081824305,0.5464285714285714,2.166234328200475
