model,forecast_rank_score,best_val_nll,nll,rmse,mae,ic,rank_ic_by_day,directional_accuracy,topk_overlap,topk_hit_rate,pred_topk_mean_return,pred_bottomk_mean_return,top_bottom_return_spread,topk_return_capture
stock_mamba_hybrid,2.5337484514070168,-2.7767698764801025,-2.4942312240600586,0.022294782102108,0.015134695917367935,0.12133219093084335,0.05481646273637375,0.5162622332572937,0.2257142857142857,0.7357142857142858,0.003845339944434402,-0.0006730355538406587,0.004518375498275061,0.1362441904654665
transformer,2.5043185416877924,-2.775893449783325,-2.4653520584106445,0.0226428285241127,0.015194684267044067,-0.0232076495885849,0.05444621007468615,0.5070986151695251,0.16285714285714287,0.6035714285714285,0.001986793884758039,0.0005377356757427216,0.0014490582090153177,0.07039406875909203
lstm,2.4203294245138394,-2.698974370956421,-2.3903300762176514,0.023305479437112808,0.015974320471286774,0.046774622052907944,0.018267916732877795,0.5086473822593689,0.2714285714285714,0.7642857142857142,0.003590343504038174,0.00014223542840617094,0.003448108075632003,0.1272094148421452
original_mamba_bgnn_full,2.166234328200475,-2.688751220703125,-2.141392707824707,0.022970350459218025,0.01579023338854313,0.0017263006884604692,0.0008120133481646299,0.49277234077453613,0.20500000000000002,0.675,0.0009418093527658909,0.0005587258481422656,0.0003830835046236253,0.033369235150747474
