model,top_k,rebalance_every,hold_k,min_score,total_net_return,annualized_sharpe,max_drawdown,mean_daily_net_return,average_turnover,total_trading_cost,positive_day_ratio
stock_mamba_hybrid,5,1,0,,0.2947310216696237,0.9911919872059815,-0.23779269488806343,0.0010711368702127533,1.447857212062393,0.608100029066205,0.5142857142857142
transformer,5,1,0,,-0.3353410688330697,-1.4906953152328628,-0.3450607534557686,-0.0013533284007051925,1.3478572059954916,0.5661000265181064,0.41785714285714287
lstm,5,1,0,,0.618359359403936,1.5742858610692554,-0.1857704533325244,0.001906854507731207,1.036428616940975,0.43530001911520966,0.5678571428571428
original_mamba_bgnn_full,5,1,0,,0.4800252997794494,1.365003449679925,-0.20996860572297027,0.0015683025164429897,0.9021428897976875,0.3789000137150288,0.55
