model,forecast_rank_score,best_val_nll,nll,rmse,mae,ic,rank_ic_by_day,directional_accuracy,topk_overlap,topk_hit_rate,pred_topk_mean_return,pred_bottomk_mean_return,top_bottom_return_spread,topk_return_capture
stock_mamba_hybrid,2.522348130453889,-2.7696948051452637,-2.4830217361450195,0.02228463813662529,0.015194524079561234,0.1125902608036995,0.052401080565707935,0.5245224833488464,0.23214285714285715,0.7321428571428571,0.003242922703858702,-0.0002444459485494528,0.0034873686524081546,0.11489995290762202
transformer,2.492586088523508,-2.7235405445098877,-2.4687461853027344,0.022411812096834183,0.015520239248871803,0.07614170759916306,-0.00662799936437311,0.5099380612373352,0.13428571428571429,0.5035714285714286,0.0006684575231702183,0.001964575500213479,-0.0012961179770432604,0.023684109967102768
lstm,2.468231630789235,-2.735180139541626,-2.441410541534424,0.022338902577757835,0.015138598158955574,0.08851594477891922,0.005270935960591133,0.5100671052932739,0.25142857142857145,0.7392857142857143,0.0034614973828865914,0.0002409589052539169,0.0032205384776326745,0.12264426956901518
original_mamba_bgnn_full,2.3535314612748626,-2.669687509536743,-2.32183837890625,0.022740637883543968,0.015581096522510052,-0.005618677008897066,0.02710789766407119,0.49832215905189514,0.24000000000000002,0.7571428571428571,0.002921516753095992,0.0003106223018546318,0.00261089445124136,0.10351222277056911
