Date,is_rebalance_day,gross_return,turnover,trading_cost,net_return,selected_tickers
2024-12-17,True,0.0014717711601406336,1.0,0.0015,-2.8228839859366448e-05,"PNJ,VNM,BID,MBB,VCB"
2024-12-18,True,-0.001659794826991856,1.2000000476837158,0.0018000000715255738,-0.00345979489851743,"KDH,VCB,SAB,BID,GAS"
2024-12-19,True,0.0020107117015868425,1.2000000476837158,0.0018000000715255738,0.0002107116300612687,"GAS,HDB,BID,VNM,PNJ"
2024-12-20,True,0.0009092970285564661,1.2000000476837158,0.0018000000715255738,-0.0008907030429691077,"KDH,GAS,VCB,PNJ,VIC"
2024-12-23,True,-0.0009550813701935112,0.800000011920929,0.0012000000178813935,-0.0021550813880749048,"KDH,VCB,VNM,CTG,VIC"
2024-12-24,True,0.023686785250902176,1.6000001430511475,0.002400000214576721,0.021286785036325456,"STB,GAS,MWG,CTG,SAB"
2024-12-25,True,-0.002099962206557393,1.600000023841858,0.002400000035762787,-0.00449996224232018,"PNJ,GAS,KDH,FPT,MSN"
2024-12-26,True,0.005414137616753578,1.6000001430511475,0.002400000214576721,0.003014137402176857,"ACB,TCB,CTG,PNJ,VPB"
2024-12-27,True,-0.0024041514843702316,1.6000001430511475,0.002400000214576721,-0.004804151698946953,"MBB,GAS,PNJ,VCB,SAB"
2024-12-30,True,0.0008073416538536549,1.6000001430511475,0.002400000214576721,-0.0015926585607230663,"VPB,VNM,VIC,ACB,SAB"
2024-12-31,True,0.0002523261937312782,0.800000011920929,0.0012000000178813935,-0.0009476738241501153,"PNJ,VIC,MBB,SAB,VNM"
2025-01-02,True,-0.007120344787836075,1.2000000476837158,0.0018000000715255738,-0.008920344859361648,"PNJ,VIC,GAS,ACB,VHM"
2025-01-03,True,-0.0017234145198017359,1.2000000476837158,0.0018000000715255738,-0.00352341459132731,"GAS,VCB,VIC,VRE,VNM"
2025-01-06,True,-0.007581901736557484,1.2000000476837158,0.0018000000715255738,-0.009381901808083057,"VIC,VHM,PNJ,VJC,VNM"
2025-01-07,True,0.0003123795904684812,0.800000011920929,0.0012000000178813935,-0.0008876204274129123,"VIC,VHM,VCB,GAS,VJC"
2025-01-08,True,-0.001509389840066433,0.800000011920929,0.0012000000178813935,-0.0027093898579478265,"VIC,GAS,BID,VCB,VRE"
2025-01-09,True,-0.006321110296994448,0.800000011920929,0.0012000000178813935,-0.007521110314875842,"VCB,VJC,GAS,VIC,VNM"
2025-01-10,True,-0.0007997301872819662,0.4000000059604645,0.0006000000089406968,-0.001399730196222663,"VIC,VHM,VJC,GAS,VCB"
2025-01-13,True,-0.00043181219371035695,0.800000011920929,0.0012000000178813935,-0.0016318122115917505,"VCB,VJC,ACB,SAB,VIC"
2025-01-14,True,0.0014826948754489422,0.4000000059604645,0.0006000000089406968,0.0008826948665082454,"VCB,VIC,VJC,SAB,GAS"
2025-01-15,True,0.000529367127455771,0.4000000059604645,0.0006000000089406968,-7.06328814849258e-05,"VIC,VHM,VCB,GAS,SAB"
2025-01-16,True,0.0021882650908082724,1.6000001430511475,0.002400000214576721,-0.00021173512376844884,"ACB,GAS,VNM,PLX,TPB"
2025-01-17,True,-0.0032836191821843386,1.6000001430511475,0.002400000214576721,-0.00568361939676106,"VCB,VNM,VIC,VHM,VJC"
2025-01-20,True,-0.002400172408670187,0.800000011920929,0.0012000000178813935,-0.0036001724265515805,"VIC,VHM,VJC,HPG,TCB"
2025-01-21,True,-0.003950326703488827,2.000000238418579,0.003000000357627869,-0.006950327061116696,"VNM,BID,MBB,VCB,GAS"
2025-01-22,True,0.011287560686469078,1.6000001430511475,0.002400000214576721,0.008887560471892358,"VIC,VJC,ACB,VNM,VPB"
2025-01-23,True,0.0059236884117126465,0.800000011920929,0.0012000000178813935,0.0047236883938312525,"VIC,VNM,VJC,GAS,PNJ"
2025-01-24,True,-0.01744907721877098,1.2000000476837158,0.0018000000715255738,-0.019249077290296554,"VIC,PNJ,FPT,TCB,ACB"
2025-02-03,True,0.002191439736634493,1.2000000476837158,0.0018000000715255738,0.00039143966510891905,"PNJ,KDH,VIC,MSN,VJC"
2025-02-04,True,0.0027079740539193153,1.2000000476837158,0.0018000000715255738,0.0009079739823937415,"VCB,PNJ,GVR,GAS,VIC"
2025-02-05,True,0.006467975676059723,1.2000000476837158,0.0018000000715255738,0.004667975604534149,"PNJ,CTG,PLX,VIC,POW"
2025-02-06,True,0.0015515172854065895,2.0,0.003,-0.0014484827145934106,"ACB,VCB,GAS,HPG,VRE"
2025-02-07,True,-0.013279586099088192,1.6000001430511475,0.002400000214576721,-0.015679586313664912,"PNJ,VIC,TCB,VCB,KDH"
2025-02-10,True,-0.0008697215234860778,1.600000023841858,0.002400000035762787,-0.003269721559248865,"VCB,ACB,GAS,SAB,POW"
2025-02-11,True,-0.0033835400827229023,1.2000000476837158,0.0018000000715255738,-0.005183540154248476,"MBB,ACB,VCB,STB,MSN"
2025-02-12,True,0.0041488343849778175,2.0,0.003,0.0011488343849778175,"PLX,TPB,VPB,GAS,VIC"
2025-02-13,True,-0.003808884182944894,2.0,0.003,-0.006808884182944894,"ACB,STB,BVH,VCB,VNM"
2025-02-14,True,-0.0025508261751383543,2.0,0.003,-0.005550826175138354,"PLX,POW,VIC,GAS,TCB"
2025-02-17,True,0.002447687555104494,1.2000000476837158,0.0018000000715255738,0.0006476874835789203,"ACB,GAS,VCB,STB,VIC"
2025-02-18,True,0.011272991076111794,1.6000001430511475,0.002400000214576721,0.008872990861535073,"SSI,POW,GVR,GAS,VJC"
2025-02-19,True,0.004165143705904484,2.0,0.003,0.0011651437059044837,"VPB,VCB,HPG,ACB,TPB"
2025-02-20,True,0.004261070396751165,1.2000000476837158,0.0018000000715255738,0.0024610703252255913,"GAS,VCB,ACB,BID,PLX"
2025-02-21,True,0.004263965878635645,1.6000001430511475,0.002400000214576721,0.0018639656640589237,"VIC,VHM,TCB,VCB,SSI"
2025-02-24,True,-0.0019746161997318268,1.6000001430511475,0.002400000214576721,-0.004374616414308548,"ACB,VPB,VCB,MBB,CTG"
2025-02-25,True,0.0012129127280786633,2.0,0.003,-0.0017870872719213367,"HPG,BID,SSI,VNM,GAS"
2025-02-26,True,-0.0025785595644265413,1.2000000476837158,0.0018000000715255738,-0.004378559635952115,"BID,MBB,PLX,GAS,ACB"
2025-02-27,True,-0.0027173899579793215,1.600000023841858,0.002400000035762787,-0.0051173899937421085,"SAB,PNJ,SSI,VIC,ACB"
2025-02-28,True,0.008190436288714409,1.6000001430511475,0.002400000214576721,0.005790436074137688,"VCB,VHM,GAS,BID,ACB"
2025-03-03,True,-0.0006155027658678591,0.4000000059604645,0.0006000000089406968,-0.0012155027748085559,"GAS,BID,SSI,VCB,ACB"
