Date,is_rebalance_day,gross_return,turnover,trading_cost,net_return,selected_tickers
2024-12-17,True,0.002050107577815652,1.0,0.0015,0.0005501075778156519,"KDH,CTG,GAS,VCB,SAB"
2024-12-18,True,-0.007989167235791683,0.800000011920929,0.0012000000178813935,-0.009189167253673077,"GAS,SAB,MBB,STB,VCB"
2024-12-19,True,0.0007936276379041374,1.2000000476837158,0.0018000000715255738,-0.0010063724336214365,"KDH,GAS,PNJ,CTG,VCB"
2024-12-20,True,-0.0015645045787096024,0.800000011920929,0.0012000000178813935,-0.002764504596590996,"KDH,VNM,GAS,VCB,VIC"
2024-12-23,True,-0.0008211167296394706,1.2000000476837158,0.0018000000715255738,-0.0026211168011650446,"PNJ,GAS,CTG,STB,VCB"
2024-12-24,True,0.012049433775246143,1.2000000476837158,0.0018000000715255738,0.01024943370372057,"PNJ,CTG,FPT,VIC,KDH"
2024-12-25,True,0.007319984026253223,1.2000000476837158,0.0018000000715255738,0.005519983954727649,"CTG,STB,HDB,ACB,PNJ"
2024-12-26,True,0.007744114845991135,1.2000000476837158,0.0018000000715255738,0.005944114774465561,"GAS,MBB,PNJ,KDH,HDB"
2024-12-27,True,0.011960665695369244,0.800000011920929,0.0012000000178813935,0.01076066567748785,"HDB,PNJ,KDH,ACB,TCB"
2024-12-30,True,0.0010653461795300245,1.2000000476837158,0.0018000000715255738,-0.0007346538919955493,"KDH,PNJ,SAB,VIC,FPT"
2024-12-31,True,-0.0022297969553619623,0.800000011920929,0.0012000000178813935,-0.003429796973243356,"ACB,PNJ,FPT,VIC,GAS"
2025-01-02,True,-0.010119417682290077,1.2000000476837158,0.0018000000715255738,-0.01191941775381565,"PNJ,VIC,MSN,VRE,HPG"
2025-01-03,True,-0.001141172368079424,1.6000001430511475,0.002400000214576721,-0.003541172582656145,"GAS,VIC,VCB,VNM,VHM"
2025-01-06,True,-0.007784429006278515,0.800000011920929,0.0012000000178813935,-0.008984429024159909,"VIC,VCB,PNJ,GAS,VJC"
2025-01-07,True,0.004305223003029823,1.2000000476837158,0.0018000000715255738,0.0025052229315042493,"VIC,PDR,BID,VHM,VJC"
2025-01-08,True,0.001704888534732163,0.800000011920929,0.0012000000178813935,0.0005048885168507694,"VIC,VHM,VCB,GAS,VJC"
2025-01-09,True,-0.0066908784210681915,0.0,0.0,-0.0066908784210681915,"VIC,VHM,VJC,VCB,GAS"
2025-01-10,True,-0.0007997301872819662,0.0,0.0,-0.0007997301872819662,"VIC,VCB,GAS,VJC,VHM"
2025-01-13,True,-0.011344955302774906,0.4000000059604645,0.0006000000089406968,-0.011944955311715603,"NVL,VCB,VIC,VJC,GAS"
2025-01-14,True,0.0014826948754489422,0.4000000059604645,0.0006000000089406968,0.0008826948665082454,"VIC,GAS,VCB,VJC,SAB"
2025-01-15,True,-0.0005412211176007986,0.4000000059604645,0.0006000000089406968,-0.0011412211265414954,"SAB,VJC,GAS,ACB,VCB"
2025-01-16,True,-0.0001567749714013189,0.800000011920929,0.0012000000178813935,-0.0013567749892827124,"VCB,VIC,GAS,VJC,VNM"
2025-01-17,True,0.0011348614934831858,0.4000000059604645,0.0006000000089406968,0.000534861484542489,"VIC,VNM,VHM,VJC,GAS"
2025-01-20,True,-0.004303458146750927,0.800000011920929,0.0012000000178813935,-0.005503458164632321,"TPB,GAS,MBB,VNM,VIC"
2025-01-21,True,-0.004310211166739464,1.2000000476837158,0.0018000000715255738,-0.006110211238265038,"VIC,VHM,VJC,VNM,ACB"
2025-01-22,True,0.010460840538144112,0.800000011920929,0.0012000000178813935,0.009260840520262718,"VJC,VIC,VNM,PNJ,FPT"
2025-01-23,True,0.0020372243598103523,1.2000000476837158,0.0018000000715255738,0.0002372242882847785,"ACB,VPB,FPT,PNJ,MBB"
2025-01-24,True,-0.0128566212952137,2.000000238418579,0.003000000357627869,-0.015856621652841567,"VJC,VIC,GAS,KDH,VNM"
2025-02-03,True,0.0013202294940128922,0.800000011920929,0.0012000000178813935,0.00012022947613149872,"PNJ,VIC,KDH,VJC,VCB"
2025-02-04,True,-0.00041832460556179285,0.800000011920929,0.0012000000178813935,-0.0016183246234431864,"CTG,PNJ,KDH,VIC,PLX"
