model,forecast_rank_score,best_val_nll,nll,rmse,mae,ic,rank_ic_by_day,directional_accuracy,topk_overlap,topk_hit_rate,pred_topk_mean_return,pred_bottomk_mean_return,top_bottom_return_spread,topk_return_capture
stock_mamba_hybrid,2.5508256426614135,-2.770165205001831,-2.5115010738372803,0.02233494631946087,0.015136955305933952,0.09478826820850372,0.053090735738121723,0.5210376977920532,0.24285714285714285,0.7607142857142857,0.003766321137326096,3.958974065036662e-05,0.003726731396675729,0.13344447611989868
transformer,2.502845495335726,-2.769566535949707,-2.4731650352478027,0.022344529628753662,0.015269933268427849,0.08287513256072998,0.017173049419990465,0.5077439546585083,0.1514285714285714,0.5357142857142857,0.0020457264280772896,6.118006526126659e-06,0.002039608421551163,0.0724821069488556
lstm,2.4613367237571446,-2.7006640434265137,-2.4356915950775146,0.022913377732038498,0.015503881499171257,-0.07376523315906525,0.0055490227236612115,0.48515745997428894,0.1442857142857143,0.5535714285714286,0.0018065047836070595,0.001350664546875383,0.00045584023673167647,0.06400624791854088
original_mamba_bgnn_full,2.1712960048541534,-2.6637566089630127,-2.1476376056671143,0.02339213714003563,0.016517028212547302,-0.01231234148144722,-0.00905768313999682,0.5184563994407654,0.1935714285714286,0.6642857142857143,0.0011574216323944192,0.0026665261536566376,-0.0015091045212622183,0.04100859107685232
