model,best_val_nll,rmse,mae,ic,rank_ic_by_day,directional_accuracy,nll,topk_overlap,topk_hit_rate,pred_topk_mean_return,pred_bottomk_mean_return,top_bottom_return_spread,oracle_topk_mean_return,topk_return_capture,top_k,rebalance_every,hold_k,min_score,total_net_return,annualized_sharpe,max_drawdown,mean_daily_net_return,average_turnover,total_trading_cost,positive_day_ratio,forecast_rank_score
stock_mamba_hybrid,-2.770165205001831,0.02233494631946087,0.015136955305933952,0.09478826820850372,0.053090735738121723,0.5210376977920532,-2.5115010738372803,0.24285714285714285,0.7607142857142857,0.003766321137326096,3.958974065036662e-05,0.003726731396675729,0.028223881923310858,0.13344447611989868,5,1,0,,0.6750205102089974,1.7006158456882923,-0.21924680619703207,0.002023106864823161,1.1621429039963653,0.4881000196784735,0.5357142857142857,2.5508256426614135
transformer,-2.769566535949707,0.022344529628753662,0.015269933268427849,0.08287513256072998,0.017173049419990465,0.5077439546585083,-2.4731650352478027,0.1514285714285714,0.5357142857142857,0.0020457264280772896,6.118006526126659e-06,0.002039608421551163,0.028223881923310858,0.0724821069488556,5,1,0,,0.0259952946004951,0.21554837535678062,-0.21140691982824578,0.00018894061456916709,1.2378571941384247,0.5199000215381384,0.45357142857142857,2.502845495335726
lstm,-2.7006640434265137,0.022913377732038498,0.015503881499171257,-0.07376523315906525,0.0055490227236612115,0.48515745997428894,-2.4356915950775146,0.1442857142857143,0.5535714285714286,0.0018065047836070595,0.001350664546875383,0.00045584023673167647,0.028223881923310858,0.06400624791854088,5,1,0,,0.08111714106196666,0.43371681790032995,-0.2424885538048629,0.00037186184995225633,0.9564286037215165,0.401700013563037,0.4928571428571429,2.4613367237571446
original_mamba_bgnn_full,-2.6637566089630127,0.02339213714003563,0.016517028212547302,-0.01231234148144722,-0.00905768313999682,0.5184563994407654,-2.1476376056671143,0.1935714285714286,0.6642857142857143,0.0011574216323944192,0.0026665261536566376,-0.0015091045212622183,0.028223881923310858,0.04100859107685232,5,1,0,,-0.18536176965559004,-0.5170958228062583,-0.3227378877372601,-0.0005750783984407983,1.1550000505787985,0.4851000212430954,0.48214285714285715,2.1712960048541534
