model,forecast_rank_score,best_val_nll,nll,rmse,mae,ic,rank_ic_by_day,directional_accuracy,topk_overlap,topk_hit_rate,pred_topk_mean_return,pred_bottomk_mean_return,top_bottom_return_spread,topk_return_capture
lstm,2.524863652102371,-2.7527048587799072,-2.4944326877593994,0.02251477912068367,0.01521233655512333,0.05185948684811592,0.019839504211028123,0.5094217658042908,0.1992857142857143,0.6928571428571428,0.0024980465312572572,0.0008497584060023656,0.0016482881252548917,0.08850825474840347
stock_mamba_hybrid,2.5106696894191396,-2.7734522819519043,-2.4678030014038086,0.022262809798121452,0.015097529627382755,0.12851625680923462,0.0671301446051168,0.5216830372810364,0.2392857142857143,0.7642857142857142,0.004237967241741509,-6.220039956263333e-06,0.004244187281697773,0.1501553632224226
transformer,2.5071173205635002,-2.76554012298584,-2.473189353942871,0.022444210946559906,0.015213362872600555,0.018264878541231155,0.0322787223899571,0.5171657204627991,0.18214285714285713,0.6571428571428571,0.0019639849493224963,0.0009800797974938698,0.0009839051518286265,0.06958592565895015
original_mamba_bgnn_full,2.106909587094008,-2.6858153343200684,-2.0746266841888428,0.022474516183137894,0.01527791190892458,0.0506652407348156,0.02590497378039091,0.516133189201355,0.2064285714285714,0.6892857142857143,0.0026796244555043814,0.000611474552884569,0.0020681499026198123,0.09494173986361558
