model,top_k,rebalance_every,hold_k,min_score,total_net_return,annualized_sharpe,max_drawdown,mean_daily_net_return,average_turnover,total_trading_cost,positive_day_ratio
stock_mamba_hybrid,5,1,0,,0.8979828261227081,2.18678865451696,-0.2490710425108077,0.0024497528933919966,1.1921429036983422,0.5007000195533038,0.5535714285714286
transformer,5,1,0,,-0.034987157861189555,0.02870990617950472,-0.2745899347713596,3.219927467289402e-05,1.287857208188091,0.5409000274389982,0.4928571428571429
lstm,5,1,0,,0.24754112535867479,0.850343561012685,-0.25256855885907636,0.0009476893631342264,1.0335714689322881,0.434100016951561,0.4928571428571429
original_mamba_bgnn_full,5,1,0,,0.05363945498761247,0.310513020951368,-0.3175474911042434,0.0003299816240273816,1.5664286542151655,0.6579000347703695,0.49642857142857144
