model,best_val_nll,rmse,mae,ic,rank_ic_by_day,directional_accuracy,nll,topk_overlap,topk_hit_rate,pred_topk_mean_return,pred_bottomk_mean_return,top_bottom_return_spread,oracle_topk_mean_return,topk_return_capture,top_k,rebalance_every,hold_k,min_score,total_net_return,annualized_sharpe,max_drawdown,mean_daily_net_return,average_turnover,total_trading_cost,positive_day_ratio,forecast_rank_score
stock_mamba_hybrid,-2.7745840549468994,0.022300848737359047,0.015126886777579784,0.10380790382623672,0.04927538534880026,0.5262002944946289,-2.4854161739349365,0.23357142857142854,0.7321428571428571,0.003604341414705102,0.0005698064152966254,0.0030345349994084763,0.028223881923310858,0.1277053746362289,5,1,0,,0.5558910530105259,1.4956522132394918,-0.2252534096709864,0.0017539841741481463,1.233571479256664,0.5181000212877989,0.5357142857142857,2.5240450349968677
transformer,-2.7748048305511475,0.022361602634191513,0.015213049948215485,0.07176614552736282,0.04468774829175274,0.5172947645187378,-2.4677045345306396,0.18928571428571428,0.6678571428571428,0.0029858103604965434,3.959177671016992e-05,0.0029462185837863734,0.028223881923310858,0.10579020875333534,5,1,0,,0.2902871843634034,1.1082048450755613,-0.2445264790182865,0.0010175959793784256,1.3121429212391376,0.5511000269204378,0.49642857142857144,2.5047412098295148
lstm,-2.635204315185547,0.022363945841789246,0.015255068428814411,0.11712785810232162,0.0031050373430796135,0.515745997428894,-2.3830747604370117,0.26142857142857145,0.7964285714285714,0.0034945381917558345,0.0006803120423553213,0.002814226149400513,0.028223881923310858,0.12381493804612334,5,1,0,,0.6205751311754739,1.5108616735503473,-0.1990399097588138,0.0019334667757843688,1.040714328523193,0.4371000179797412,0.5464285714285714,2.4096383196442264
original_mamba_bgnn_full,-2.6847243309020996,0.02330920472741127,0.016396503895521164,0.05018268898129463,0.03630382965199428,0.5117449760437012,-2.2005741596221924,0.24285714285714285,0.7607142857142857,0.003485369765400849,-0.00020901281790689348,0.0036943825833077423,0.028223881923310858,0.12349009164902255,5,1,0,,0.5100801196082905,1.4541568470618398,-0.23946339032057118,0.0016328696973958619,1.23500005996653,0.5187000251859426,0.5285714285714286,2.2352373658373756
