model,forecast_rank_score,best_val_nll,nll,rmse,mae,ic,rank_ic_by_day,directional_accuracy,topk_overlap,topk_hit_rate,pred_topk_mean_return,pred_bottomk_mean_return,top_bottom_return_spread,topk_return_capture
stock_mamba_hybrid,2.5240450349968677,-2.7745840549468994,-2.4854161739349365,0.022300848737359047,0.015126886777579784,0.10380790382623672,0.04927538534880026,0.5262002944946289,0.23357142857142854,0.7321428571428571,0.003604341414705102,0.0005698064152966254,0.0030345349994084763,0.1277053746362289
transformer,2.5047412098295148,-2.7748048305511475,-2.4677045345306396,0.022361602634191513,0.015213049948215485,0.07176614552736282,0.04468774829175274,0.5172947645187378,0.18928571428571428,0.6678571428571428,0.0029858103604965434,3.959177671016992e-05,0.0029462185837863734,0.10579020875333534
lstm,2.4096383196442264,-2.635204315185547,-2.3830747604370117,0.022363945841789246,0.015255068428814411,0.11712785810232162,0.0031050373430796135,0.515745997428894,0.26142857142857145,0.7964285714285714,0.0034945381917558345,0.0006803120423553213,0.002814226149400513,0.12381493804612334
original_mamba_bgnn_full,2.2352373658373756,-2.6847243309020996,-2.2005741596221924,0.02330920472741127,0.016396503895521164,0.05018268898129463,0.03630382965199428,0.5117449760437012,0.24285714285714285,0.7607142857142857,0.003485369765400849,-0.00020901281790689348,0.0036943825833077423,0.12349009164902255
