model,top_k,rebalance_every,hold_k,min_score,total_net_return,annualized_sharpe,max_drawdown,mean_daily_net_return,average_turnover,total_trading_cost,positive_day_ratio
stock_mamba_hybrid,5,1,0,,0.5558910530105259,1.4956522132394918,-0.2252534096709864,0.0017539841741481463,1.233571479256664,0.5181000212877989,0.5357142857142857
transformer,5,1,0,,0.2902871843634034,1.1082048450755613,-0.2445264790182865,0.0010175959793784256,1.3121429212391376,0.5511000269204378,0.49642857142857144
lstm,5,1,0,,0.6205751311754739,1.5108616735503473,-0.1990399097588138,0.0019334667757843688,1.040714328523193,0.4371000179797412,0.5464285714285714
original_mamba_bgnn_full,5,1,0,,0.5100801196082905,1.4541568470618398,-0.23946339032057118,0.0016328696973958619,1.23500005996653,0.5187000251859426,0.5285714285714286
